Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.10.3-192.168.10.25-389-49154-6,192.168.10.25,49154,192.168.10.3,389,6,03/07/2017 08:59:05,1829,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3827.227993439038,304.83333333333337,645.217921842432,1620.0,2.0,1829.0,457.25,777.9157516509526,1620.0,2.0,4.0,4.0,0.0,4.0,4.0,0,0,0,0,184,80,2733.734281027884,1093.4937124111536,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,184,0,0,0,0,0,0,5,0,2,0,65535,8192,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.9-135-1067-6,192.168.10.9,1067,192.168.10.3,135,6,03/07/2017 09:00:12,69,1,1,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,173913.04347826086,28985.507246376812,69.0,0.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,14492.753623188406,14492.753623188406,6.0,6.0,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,255,2052,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.9-49666-1068-6,192.168.10.9,1068,192.168.10.3,49666,6,03/07/2017 09:00:17,67,1,1,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,179104.4776119403,29850.746268656716,67.0,0.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,14925.373134328358,14925.373134328358,6.0,6.0,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,251,2050,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.12-91.189.95.83-48288-80-6,192.168.10.12,48288,91.189.95.83,80,6,03/07/2017 09:00:27,1159906,17,16,738.0,23488.0,259.0,0.0,43.41176470588235,96.96910514664545,4344.0,0.0,1468.0,1022.2520889356664,20886.17525902961,28.45058134021205,36247.0625,89864.32491582303,460062.0,3.0,1159906.0,72494.125,117913.79717227044,460062.0,87.0,605487.0,40365.8,80196.05328924501,280989.0,47.0,0,0,0,0,552,520,14.65636008435166,13.794221255860387,0.0,4344.0,712.5294117647059,1001.1527064004656,1002306.7415329769,0,0,0,1,0,0,0,0,0.0,734.1212121212121,43.411764705882355,1468.0,552,0,0,0,0,0,0,17,738,16,23488,29200,70,3,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.12-91.189.88.162-52408-80-6,192.168.10.12,52408,91.189.88.162,80,6,03/07/2017 09:00:27,1159444,105,134,1217.0,291540.0,752.0,0.0,11.590476190476192,79.66223109021655,4344.0,0.0,2175.6716417910434,900.8294905638164,252497.7489210346,206.13328457433047,4871.613445378156,24769.277040806148,254774.0,0.0,1159444.0,11148.499999999996,36662.61708490766,254861.0,1.0,810035.0,6090.48872180451,27241.78736143619,224526.0,2.0,0,0,0,0,3368,4296,90.5606480347477,115.57263653958276,0.0,4344.0,1219.820833333334,1270.5004965359308,1614171.511698047,0,0,0,1,0,0,0,0,1.0,1224.9246861924687,11.59047619047619,2175.6716417910447,3368,0,0,0,0,0,0,105,1217,134,291540,29200,257,3,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.12-91.189.88.162-52410-80-6,192.168.10.12,52410,91.189.88.162,80,6,03/07/2017 09:00:27,1158808,414,512,2413.0,1079693.0,1259.0,0.0,5.828502415458939,69.01375136984817,4344.0,0.0,2108.775390625,831.2460069146731,933809.5698338292,799.0970031273515,1252.7654054054055,8601.177312454023,96230.0,1.0,1158808.0,2805.8305084745753,12794.35751982057,96485.0,1.0,1038498.0,2032.2857142857144,11489.117107693077,100373.0,1.0,0,0,0,0,15456,16392,357.26367094462586,441.83333218272566,0.0,4344.0,1167.3203883495166,1215.7766024778005,1478112.7471324634,0,0,0,1,0,0,0,0,1.0,1168.5809935205184,5.828502415458937,2108.775390625,15456,0,0,0,0,0,0,414,2413,512,1079693,29200,293,5,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.12-52.216.32.171-51478-443-6,192.168.10.12,51478,52.216.32.171,443,6,03/07/2017 09:00:24,8428459,23,31,813.0,29479.0,249.0,0.0,35.34782608695652,66.93185727130663,2864.0,0.0,950.9354838709676,797.3999387795258,3594.0140421873084,6.4068651220822215,159027.52830188678,858027.2271310823,5955802.0,0.0,6396040.0,290729.0909090909,1265540.0170733782,5955819.0,1.0,8377537.0,279251.23333333334,1141745.9406149588,5998981.0,1.0,0,0,0,0,480,632,2.7288499594053905,3.678015162676831,0.0,2864.0,550.7636363636365,752.1769631133249,565770.183838384,0,0,0,1,0,0,0,0,1.0,560.9629629629629,35.34782608695652,950.9354838709676,480,0,0,0,0,0,0,23,813,31,29479,29200,70,22,20,440221.0,0.0,440221.0,440221.0,5955802.0,0.0,5955802.0,5955802.0,BENIGN
192.168.10.3-192.168.10.9-123-123-17,192.168.10.9,123,192.168.10.3,123,17,03/07/2017 08:59:04,64022097,4,4,192.0,192.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,5.997929121253245,0.1249568566927759,9146013.857142856,24197976.292178735,64021866.0,3.0,64021967.0,21340655.666666664,36963093.81932151,64021960.0,3.0,64022003.0,21340667.666666664,36963115.46995661,64021997.0,3.0,0,0,0,0,80,80,0.0624784283463879,0.0624784283463879,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,54.0,48.0,48.0,80,0,0,0,0,0,0,4,192,4,192,-1,-1,3,20,97.0,0.0,97.0,97.0,64021866.0,0.0,64021866.0,64021866.0,BENIGN
192.168.10.12-192.168.10.25-139-49164-6,192.168.10.25,49164,192.168.10.12,139,6,03/07/2017 09:01:15,112537,49,30,2488.0,2870.0,194.0,0.0,50.775510204081634,65.99850544586924,348.0,0.0,95.66666666666669,106.86353958181446,47611.00793516799,701.9913450687329,1442.7820512820506,6181.633566403305,40958.0,1.0,112537.0,2344.5208333333326,8290.034309375356,45569.0,1.0,112182.0,3868.3448275862065,11937.83691903264,50754.0,1.0,0,0,0,0,1592,976,435.4123532704799,266.578991798253,0.0,348.0,66.97500000000001,85.85341864871131,7370.80949367089,0,0,0,1,0,0,0,0,0.0,67.82278481012658,50.775510204081634,95.66666666666669,1592,0,0,0,0,0,0,49,2488,30,2870,65535,269,22,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.12-192.168.10.25-139-49164-6,192.168.10.25,49164,192.168.10.12,139,6,03/07/2017 09:01:15,37485,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.3546752034147,37485.0,0.0,37485.0,37485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,26.67733760170735,26.67733760170735,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,65535,269,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
