Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.10.5-192.168.10.50-53532-22-6,192.168.10.5,53532,192.168.10.50,22,6,7/7/2017 10:36,175,1,1,6,6.0,6,6,6.0,0.0,6,6,6.0,0.0,68571.42857,11428.57143,175.0,0.0,175.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,5714.285714,5714.285714,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,256,245,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
162.125.4.5-192.168.10.8-443-2829-6,162.125.4.5,443,192.168.10.8,2829,6,7/7/2017 10:36,704,2,1,52,6.0,46,6,26.0,28.28427125,6,6,6.0,0.0,82386.36364,4261.363636,352.0,379.0092347,620.0,84.0,704.0,704.0,0.0,704.0,704.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,40,20,2840.909091,1420.454545,6,46,26.0,23.09401077,533.3333333,0,1,0,0,1,0,0,0,0,34.66666667,26.0,6.0,40,0,0,0,0,0,0,2,52,1,6,61,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
162.125.4.5-192.168.10.8-443-2827-6,162.125.4.5,443,192.168.10.8,2827,6,7/7/2017 10:36,1193,2,1,52,6.0,46,6,26.0,28.28427125,6,6,6.0,0.0,48616.9321,2514.668902,596.5,703.5712473,1094.0,99.0,1193.0,1193.0,0.0,1193.0,1193.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,40,20,1676.445935,838.2229673,6,46,26.0,23.09401077,533.3333333,0,1,0,0,1,0,0,0,0,34.66666667,26.0,6.0,40,0,0,0,0,0,0,2,52,1,6,61,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
162.125.4.5-192.168.10.8-443-2828-6,162.125.4.5,443,192.168.10.8,2828,6,7/7/2017 10:36,1455,2,1,52,6.0,46,6,26.0,28.28427125,6,6,6.0,0.0,39862.54296,2061.85567,727.5,970.8576106,1414.0,41.0,1455.0,1455.0,0.0,1455.0,1455.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,40,20,1374.570447,687.2852234,6,46,26.0,23.09401077,533.3333333,0,1,0,0,1,0,0,0,0,34.66666667,26.0,6.0,40,0,0,0,0,0,0,2,52,1,6,61,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.5-192.168.10.50-53533-22-6,192.168.10.5,53533,192.168.10.50,22,6,7/7/2017 10:36,1300430,35,40,2686,6718.0,408,0,76.74285714,105.4269591,976,0,167.95,324.0548347,7231.454211,57.67323116,17573.37838,111945.2089,956566.0,0.0,1300430.0,38247.94118,173415.3766,997070.0,1.0,343762.0,8814.410256,22868.25993,126296.0,1.0,0,0,0,0,724,824,26.91417454,30.75905662,0,976,123.7368421,248.8413882,61922.03649,0,0,0,1,0,0,0,0,1,125.3866667,76.74285714,167.95,724,0,0,0,0,0,0,35,2686,40,6718,8192,245,33,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.5-192.168.10.50-53532-22-6,192.168.10.50,22,192.168.10.5,53532,6,7/7/2017 10:36,12,1,2,6,12.0,6,6,6.0,0.0,6,6,6.0,0.0,1500000.0,250000.0,6.0,7.071067812,11.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,20,40,83333.33333,166666.6667,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,2,8.0,6.0,6.0,20,0,0,0,0,0,0,1,6,2,12,245,256,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.5-192.168.10.50-53533-22-6,192.168.10.5,53533,192.168.10.50,22,6,7/7/2017 10:36,169,1,1,6,6.0,6,6,6.0,0.0,6,6,6.0,0.0,71005.91716,11834.31953,169.0,0.0,169.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,5917.159763,5917.159763,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,250,245,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.9-205.174.165.73-3645-8080-6,192.168.10.9,3645,205.174.165.73,8080,6,7/7/2017 10:36,113547,4,3,206,134.0,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,2994.354761,61.64848036,18924.5,45256.97464,111302.0,43.0,113547.0,37849.0,64948.30784,112844.0,43.0,111976.0,55988.0,78225.80899,111302.0,674.0,0,0,0,0,92,72,35.22770307,26.4207773,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,0,48.57142857,51.5,44.66666667,92,0,0,0,0,0,0,4,206,3,134,8192,237,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot
192.168.10.19-208.89.12.87-36518-443-6,192.168.10.19,36518,208.89.12.87,443,6,7/7/2017 10:36,40171033,15,15,960,5960.0,514,0,64.0,140.6413879,1460,0,397.3333333,590.493216,172.2634317,0.746806785,1385208.034,3489550.793,10000000.0,1.0,40200000.0,2869346.429,4669352.672,10000000.0,1.0,40100000.0,2866858.643,4671091.145,10000000.0,4.0,0,0,0,0,320,308,0.373403392,0.373403392,0,1460,223.2258065,448.8242202,201443.1806,0,0,0,1,0,0,0,0,1,230.6666667,64.0,397.3333333,320,0,0,0,0,0,0,15,960,15,5960,29200,5274,14,20,85789.0,101284.0337,237715.0,35040.0,9956922.75,96006.65844,10000000.0,9813246.0,BENIGN
192.168.10.14-23.194.142.54-51684-80-6,192.168.10.14,51684,23.194.142.54,80,6,7/7/2017 10:36,50319646,5,5,209,1668.0,197,0,41.8,86.81128959,1656,0,333.6,739.2501606,37.30153428,0.198729538,5591071.778,16800000.0,50300000.0,31.0,47006.0,11751.5,12630.92291,23084.0,53.0,50300000.0,12600000.0,25100000.0,50300000.0,685.0,0,0,0,0,124,124,0.099364769,0.099364769,0,1656,170.6363636,496.0851283,246100.4545,0,0,0,1,0,0,0,0,1,187.7,41.8,333.6,124,0,0,0,0,0,0,5,209,5,1668,8192,946,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
